rank,country,population,area,population_number,alpha3_code,population_density
72,Netherlands,17.56 million,41.85 thousand km2,17564014,NLD,419.69 per km2
73,Senegal,17.32 million,196.72 thousand km2,17316449,SEN,88.02 per km2
74,Cambodia,16.77 million,181.03 thousand km2,16767842,KHM,92.62 per km2
75,Zimbabwe,16.32 million,390.76 thousand km2,16320537,ZWE,41.77 per km2
76,Guinea,13.86 million,245.86 thousand km2,13859341,GIN,56.37 per km2
77,Rwanda,13.78 million,26.34 thousand km2,13776698,RWA,523.07 per km2
78,Benin,13.35 million,112.62 thousand km2,13352864,BEN,118.56 per km2
79,Burundi,12.89 million,27.83 thousand km2,12889576,BDI,463.09 per km2
80,Tunisia,12.36 million,163.61 thousand km2,12356117,TUN,75.52 per km2
81,Bolivia,12.22 million,1.1 million km2,12224110,BOL,11.13 per km2
82,Belgium,11.66 million,30.53 thousand km2,11655930,BEL,381.81 per km2
83,Haiti,11.58 million,27.75 thousand km2,11584996,HTI,417.48 per km2
84,Jordan,11.29 million,89.34 thousand km2,11285869,JOR,126.32 per km2
85,Dominican Republic,11.23 million,48.67 thousand km2,11228821,DOM,230.71 per km2
86,Cuba,11.21 million,109.88 thousand km2,11212191,CUB,102.04 per km2
87,South Sudan,10.91 million,619.75 thousand km2,10913164,SDS,17.61 per km2
88,Sweden,10.55 million,450.3 thousand km2,10549347,SWE,23.43 per km2
89,Czech Republic,10.49 million,78.86 thousand km2,10493986,CZE,133.06 per km2
90,Honduras,10.43 million,112.49 thousand km2,10432860,HND,92.74 per km2
91,Greece,10.38 million,131.99 thousand km2,10384971,GRC,78.68 per km2
92,Azerbaijan,10.36 million,86.6 thousand km2,10358074,AZE,119.61 per km2
93,Portugal,10.27 million,92.09 thousand km2,10270865,PRT,111.53 per km2
94,Papua New Guinea,10.14 million,462.84 thousand km2,10142619,PNG,21.91 per km2
95,Hungary,9.97 million,93.03 thousand km2,9967308,HUN,107.14 per km2
96,Tajikistan,9.95 million,143.1 thousand km2,9952787,TJK,69.55 per km2
97,Belarus,9.53 million,207.6 thousand km2,9534954,BLR,45.93 per km2
98,United Arab Emirates,9.44 million,83.6 thousand km2,9441129,ARE,112.93 per km2
